URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,2025.3.20250714,active,"1.2.840.10008.2.16.4",DICOMTerminologyDefinitions,DICOM Controlled Terminology Definitions,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version 2025.3.20250714","ValueSet/participation-role-type,ValueSet/dicom-cid-33-Modality"
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/appointmentstatus,5.0.0,active,"2.16.840.1.113883.4.642.4.485,2.16.840.1.113883.4.642.1.478,2.16.840.1.113883.4.642.2.284",AppointmentStatus,Appointment Status,"The free/busy status of an appointment.","ValueSet/appointmentstatus"
http://hl7.org/fhir/care-team-status,5.0.0,active,"2.16.840.1.113883.4.642.4.154,2.16.840.1.113883.4.642.1.145",CareTeamStatus,Care Team Status,"Indicates the status of the care team.","ValueSet/care-team-status"
http://hl7.org/fhir/composition-attestation-mode,5.0.0,active,"2.16.840.1.113883.4.642.1.234,2.16.840.1.113883.4.642.4.239,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","ValueSet/composition-attestation-mode"
http://hl7.org/fhir/composition-status,5.0.0,active,"2.16.840.1.113883.4.642.4.242,2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.1.237",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/contact-point-system,5.0.0,active,"2.16.840.1.113883.4.642.1.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,5.0.0,active,"2.16.840.1.113883.4.642.1.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,5.0.0,active,"2.16.840.1.113883.4.642.4.513,2.16.840.1.113883.4.642.2.302,2.16.840.1.113883.4.642.1.507",DaysOfWeek,Days Of Week,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/diagnostic-report-status,5.0.0,active,"2.16.840.1.113883.4.642.2.118,2.16.840.1.113883.4.642.4.236,2.16.840.1.113883.4.642.1.231",DiagnosticReportStatus,Diagnostic Report Status,"The status of the diagnostic report.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/document-reference-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.8",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,5.0.0,active,"2.16.840.1.113883.4.642.4.245,2.16.840.1.113883.4.642.2.133,2.16.840.1.113883.4.642.1.240",DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/encounter-diagnosis-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2115",EncounterDiagnosisUse,Encounter Diagnosis Use,"Encounter Condition Use","ValueSet/encounter-diagnosis-use"
http://hl7.org/fhir/encounter-location-status,5.0.0,active,"2.16.840.1.113883.4.642.1.258,2.16.840.1.113883.4.642.2.147,2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,Encounter Location Status,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-reason-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2114",EncounterReasonUse,Encounter Reason Use,"Encounter Reason Use","ValueSet/encounter-reason-use"
http://hl7.org/fhir/encounter-status,5.0.0,active,"2.16.840.1.113883.4.642.4.247,2.16.840.1.113883.4.642.1.242",EncounterStatus,Encounter Status,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/episode-of-care-status,5.0.0,active,"2.16.840.1.113883.4.642.4.665,2.16.840.1.113883.4.642.2.346,2.16.840.1.113883.4.642.1.649",EpisodeOfCareStatus,Episode Of Care Status,"The status of the episode of care.","ValueSet/episode-of-care-status"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/goal-status,5.0.0,active,"2.16.840.1.113883.4.642.1.267,2.16.840.1.113883.4.642.4.272,2.16.840.1.113883.4.642.2.150",GoalLifecycleStatus,Goal Lifecycle Status,"Codes that reflect the current state of a goal and whether the goal is still being targeted.","ValueSet/goal-status"
http://hl7.org/fhir/history-status,5.0.0,active,"2.16.840.1.113883.4.642.4.268,2.16.840.1.113883.4.642.1.263,2.16.840.1.113883.4.642.2.409",FamilyHistoryStatus,Family History Status,"A code that identifies the status of the family history record.","ValueSet/history-status"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/imagingstudy-status,5.0.0,active,"2.16.840.1.113883.4.642.4.991",ImagingStudyStatus,Imaging Study Status,"The status of the ImagingStudy.","ValueSet/imagingstudy-status"
http://hl7.org/fhir/link-type,5.0.0,active,"2.16.840.1.113883.4.642.1.413,2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.4.424",LinkType,Link Type,"The type of link between this Patient resource and other Patient/RelatedPerson resource(s).","ValueSet/link-type"
http://hl7.org/fhir/location-characteristic,5.0.0,active,"2.16.840.1.113883.4.642.4.1970",LocationCharacteristic,Location Characteristic,"Example Set of Location Characteristics.","ValueSet/location-characteristic"
http://hl7.org/fhir/location-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.331,2.16.840.1.113883.4.642.1.322,2.16.840.1.113883.4.642.2.181",LocationMode,Location Mode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,5.0.0,active,"2.16.840.1.113883.4.642.4.333,2.16.840.1.113883.4.642.1.324,2.16.840.1.113883.4.642.2.182",LocationStatus,Location Status,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/name-use,5.0.0,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-referencerange-normalvalue,5.0.0,active,"2.16.840.1.113883.4.642.4.2099",ObservationReferenceRangeNormalValue,ObservationreferenceRangeNormalValue,"Codes that describe the normal value in the reference range.","ValueSet/observation-referencerange-normalvalue"
http://hl7.org/fhir/observation-status,5.0.0,active,"2.16.840.1.113883.4.642.4.401,2.16.840.1.113883.4.642.1.388,2.16.840.1.113883.4.642.2.219",ObservationStatus,Observation Status,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/observation-triggeredbytype,5.0.0,active,"2.16.840.1.113883.4.642.4.2098",TriggeredBytype,triggered Bytype,"Codes providing the triggeredBy type of observation.","ValueSet/observation-triggeredbytype"
http://hl7.org/fhir/participationstatus,5.0.0,active,"2.16.840.1.113883.4.642.4.487,2.16.840.1.113883.4.642.2.285,2.16.840.1.113883.4.642.1.480",ParticipationStatus,Participation Status,"The Participation status of an appointment.","ValueSet/participationstatus"
http://hl7.org/fhir/request-intent,5.0.0,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/care-plan-intent"
http://hl7.org/fhir/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/service-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.2116",ServiceMode,Service Mode,"An example set of Service Modes that could be applicable to use to characterize HealthcareServices or PractitionerRoles while searching","ValueSet/service-mode"
http://hl7.org/fhir/servicerequest-orderdetail-parameter-code,5.0.0,active,,ServiceRequestOrderDetailParameterCode,Service Request Order Detail Parameter Code,"Codes providing the parameter codes for service request details.","ValueSet/servicerequest-orderdetail-parameter-code"
