Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lt.hl7.fhir.base.json	16937	-	0	0	0	0	0	0	6	77	0	0	0	0	0	0	0	0	0	0	14	73	71	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-identifier-domain-lt.json	3736	5	0	0	2	0	1	0	1	12	0	0	1	0	0	0	0	0	0	0	9	23	417	0	0	0	1	0	0
fsh-generated/resources/Condition-condition-cancer-example.json	1585	2	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	6	10	24	0	0	0	0	0	0
fsh-generated/resources/Encounter-encounter-psychiatric-example.json	2281	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	13	20	0	0	0	0	0	0
fsh-generated/resources/Location-location-vilnius-hospital-example.json	714	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	15	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-blood-pressure-example.json	3104	4	0	0	0	0	0	0	1	4620	0	0	0	1	0	0	0	0	0	0	3	17	21	0	0	0	0	0	0
fsh-generated/resources/Observation-observation-breast-density-fatty-example.json	1220	1	0	0	0	0	0	0	0	1273	0	0	0	0	0	0	0	0	0	0	3	9	16	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-example.json	1254	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	7	14	0	0	0	0	0	0
fsh-generated/resources/Organization-organization-vilnius-hospital-example.json	914	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	16	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example.json	939	2	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	2	7	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-example.json	927	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	6	17	0	0	1	0	0	0
fsh-generated/resources/PractitionerRole-practitioner-role-doctor-vilnius-hospital-example.json	602	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	18	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-related-person-ruta-petrauskiene-example.json	628	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-appointment-lt.json	3181	1	0	24	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	1	269	1317	0	1	0	7	0	1
fsh-generated/resources/StructureDefinition-care-plan-lt.json	7094	3	0	16	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	268	395	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-care-team-lt.json	2854	2	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	148	278	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-composition-lt.json	4673	1	0	19	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	256	349	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-condition-lt.json	3113	1	0	24	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	198	345	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-diagnostic-report-lt.json	6981	2	0	20	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	266	384	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-document-reference-lt.json	4469	1	0	18	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	1	243	1404	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-encounter-lt.json	6072	2	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	402	400	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-episode-of-care-lt.json	3240	1	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	166	241	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-family-member-history-lt.json	3321	1	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	203	294	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-goal-lt.json	3582	2	0	14	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	175	264	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-healthcare-service-lt.json	3497	1	0	18	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	181	237	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-imagingstudy-lt.json	4567	1	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	302	318	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-location-lt.json	624	1	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	90	205	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-observation-lt.json	6958	1	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	371	411	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-organization-lt.json	5226	2	0	21	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	284	382	0	0	0	4	0	1
