Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lt.hl7.fhir.base.json	11626	-	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	6	37	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-identifier-domain.json	3817	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	20	68	0	0	0	0	0	0
fsh-generated/resources/Condition-example-cancer.json	1575	2	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	2	13	19	0	0	0	0	0	0
fsh-generated/resources/Encounter-example-encounter.json	2249	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	14	17	0	0	0	0	0	0
fsh-generated/resources/Encounter-example-pencounter.json	1320	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	12	16	0	0	0	0	0	0
fsh-generated/resources/Location-example-location.json	697	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	8	13	0	0	0	0	0	0
fsh-generated/resources/Observation-example-LTBaseobservation-blood-pressure.json	3098	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	17	18	0	0	0	0	0	0
fsh-generated/resources/Organization-example-lmb.json	1245	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	12	0	0	0	0	0	1
fsh-generated/resources/Organization-example-organization.json	897	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	9	13	0	0	0	0	0	0
fsh-generated/resources/Patient-example-patient.json	939	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	12	0	0	0	0	0	0
