URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_244.html,2025.3.20250714,active,"1.2.840.10008.6.1.37",Laterality,,"Transitive closure of CID 244 Laterality","StructureDefinition/ImImagingStudy","SCT,Other"
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImImagingStudy,StructureDefinition/DocumentReferenceEu","DICOM"
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_7010.html,2025.3.20250714,active,"1.2.840.10008.6.1.490",KeyObjectSelectionDocumentTitle,,"Transitive closure of CID 7010 KeyObjectSelectionDocumentTitle","StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection","DICOM"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/ImComposition,StructureDefinition/location-eu-core,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImProcedure,StructureDefinition/CompositionEu,StructureDefinition/ImImagingStudy,StructureDefinition/CarePlanEu,StructureDefinition/EndpointEu,StructureDefinition/Substance-additive-eu-lab,StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection,StructureDefinition/ImOrder,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/Specimen-eu-lab,StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/ConditionEu,StructureDefinition/ImImagingDevice,StructureDefinition/ImFinding,StructureDefinition/ImDiagnosticReport,StructureDefinition/ProcedureEu,StructureDefinition/ImWadoEndpoint,StructureDefinition/DocumentReferenceEu,StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/ServiceRequest-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/Composition-eu-lab","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/Specimen-eu-lab,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImProcedure,StructureDefinition/ImImagingStudy,StructureDefinition/ConditionEu,StructureDefinition/ImFinding,StructureDefinition/ProcedureEu,StructureDefinition/ImKeyImageImagingSelection,StructureDefinition/ImImagingSelection,StructureDefinition/DocumentReferenceEu,StructureDefinition/ServiceRequest-eu-lab,StructureDefinition/ImOrder,StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu","SCT"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,5.0.0,active,"2.16.840.1.113883.3.88.12.80.67,2.16.840.1.113883.4.642.2.131",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter,    service, interaction, or treatment occurred. The value set used for Healthcare Facility    Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,5.0.0,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-performed,5.0.0,draft,"2.16.840.1.113883.4.642.3.3000",CarePlanActivityPerformed,Care Plan Activity Performed,"Example codes indicating the care plan activity that was performed. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/CarePlanEu","SCT"
http://hl7.org/fhir/ValueSet/care-plan-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.136,2.16.840.1.113883.4.642.2.67,2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/CarePlanEu","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.150,2.16.840.1.113883.4.642.3.141",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/CarePlanEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/ConditionEu,StructureDefinition/CarePlanEu,StructureDefinition/ImDiagnosticReport","SCT"
