Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lt.hl7.fhir.vitalsigns.json	23668	-	0	0	0	0	0	0	5	52	0	0	0	0	0	0	0	1	0	0	11	75	95	0	0	0	2	0	0
fsh-generated/resources/BodyStructure-example-body-structure-blood-pressure.json	1116	4	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	5	11	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-solor-temporary-codesystem.json	4254	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	23	348	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-blood-pressure.json	926	4	0	0	0	0	0	0	0	1918	0	0	0	0	0	0	0	0	0	0	2	9	17	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-body-height.json	419	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	7	13	0	0	0	0	0	1
fsh-generated/resources/Device-example-device-body-weight.json	269	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	8	14	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-heart-rate.json	279	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	6	11	0	0	0	0	0	0
fsh-generated/resources/Observation-example-blood-pressure.json	4111	6	0	0	0	0	0	0	0	3088	0	0	0	0	0	0	0	0	0	0	2	17	22	0	0	0	0	0	0
fsh-generated/resources/Observation-example-bmi.json	842	3	0	0	0	0	0	0	1	1313	0	0	0	0	0	0	0	0	0	0	1	10	15	0	0	0	0	0	0
fsh-generated/resources/Observation-example-body-height.json	1216	2	0	0	0	0	0	0	0	1329	0	0	0	0	0	0	0	0	0	0	2	10	17	0	0	0	0	0	0
fsh-generated/resources/Observation-example-body-weight.json	1696	3	0	0	0	0	0	0	0	1296	0	0	0	0	0	0	0	0	0	0	1	11	18	0	0	0	0	0	0
fsh-generated/resources/Observation-example-head-circumference.json	1010	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	10	18	0	0	0	0	0	0
fsh-generated/resources/Observation-example-heart-rate.json	2314	2	0	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	0	3	13	22	0	0	0	0	0	0
fsh-generated/resources/Observation-example-waist-circumference.json	1068	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	9	17	0	0	0	0	0	0
fsh-generated/resources/Patient-example-patient.json	939	5	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	2	15	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-associated-situation.json	3067	4	0	6	1	0	0	0	0	17	0	0	1	0	0	0	0	1	0	0	1	82	1216	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-blood-pressure-panel.json	19108	6	0	67	0	0	0	0	0	47	0	0	1	0	0	0	0	2	0	0	3	701	15951	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-bmi.json	4651	3	0	28	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	248	1329	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-body-height.json	7848	3	0	21	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	1	269	6962	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-body-position.json	3001	3	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	53	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-body-structure-blood-pressure.json	2113	2	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	118	290	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-body-weight.json	8553	4	0	21	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	286	5235	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-device-blood-pressure.json	2085	2	0	21	0	0	0	0	0	741	0	0	1	0	0	0	0	0	0	0	1	191	429	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-device-body-height.json	865	2	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	141	359	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-device-body-weight.json	854	2	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	145	372	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-device-heart-rate.json	857	2	0	16	0	1	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	147	374	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-exercise-association.json	3202	2	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	84	176	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-head-circumference.json	4862	2	0	18	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	1	240	506	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-heart-rate.json	8724	3	0	19	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	302	6156	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-measurement-setting.json	3341	3	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	84	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-sleep-status.json	3158	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	82	170	0	0	0	2	0	0
