Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lt.hl7.fhir.vitalsigns.json	23668	-	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	5	62	98	0	0	0	2	0	1
fsh-generated/resources/BodyStructure-example-body-structure-blood-pressure.json	1116	3	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	4	11	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-solor-temporary-codesystem.json	4254	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	23	75	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-blood-pressure.json	926	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	9	15	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-body-height.json	419	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	12	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-body-weight.json	269	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	8	13	0	0	0	0	0	0
fsh-generated/resources/Device-example-device-heart-rate.json	279	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	13	0	0	0	0	0	0
fsh-generated/resources/Observation-example-blood-pressure.json	4111	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	18	18	0	0	0	0	0	0
fsh-generated/resources/Observation-example-bmi.json	842	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	16	0	0	0	0	0	0
fsh-generated/resources/Observation-example-body-height.json	1216	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	12	17	0	0	0	0	0	0
fsh-generated/resources/Observation-example-body-weight.json	1696	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	12	16	0	0	0	0	0	0
fsh-generated/resources/Observation-example-head-circumference.json	1010	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10	16	0	0	0	0	0	0
